videoURL,title,url
https://insistent.leather.com/Round/Boring?f5,United Combination,http://unfinished.east.com/Portly/Independence?%33Eb2a
https://meek.pride.com/Flimsy/Oil?e,Orderly Text,https://harmonious.window.it/Healthy/Period?PQL
https://growing.ball.com/Burly/Salt?,Periodic Pull,"https://thorough.sail.org/Austere/Engineer?x;j,y7%F3%87%83%A4Y%F3%B1%92%AFM"
http://ajar.child.it/Bulky/Database?5,Pleasant Requirement,https://appropriate.angle.org/Sleepy/Weekend?*Kr
http://substantial.memory.com/Proper/Bonus?O:E,Misguided Topic,https://hairy.woman.it/Strict/Lock?9e
http://miserable.science.org/Pertinent/Bottom??/,Cuddly Wedding,http://spanish.bunch.it/Shy/Lecture?HdP
https://lined.dinner.com/Understated/Network?Qp,Gray Curve,http://coarse.breath.com/Biodegradable/Parent?e
"https://insidious.leave.org/Able/Average?J,cfpQ,",Indolent Judgment,https://chief.replacement.com/Quick/Mistake?m%F2%B6%AF%A5%F0%B0%A1%B4U)9K&4%F2%8B%8B%B1
https://yummy.brown.com/Mindless/Damage?%F4%8C%BD%AC,Repulsive Dealer,http://shrill.wedding.com/Fortunate/Operation?@*%F0%90%BC%919j(Z*
"https://pointless.product.it/Easy-going/Call?Kdu%2Bg1,",Remorseful Complex,http://bouncy.history.com/Lined/Voice?aAMy(Rr:
